OBJECTID_12,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,block,extra,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PD,BosNeighb,ZIP,CityCouncil,WDPCT,Police,BG,Population,HousUnits,WARD,CityCouncil2012
"7,399",28,25,25,990101,1,250259901010001,250259901010,1,Block 0001,G5040, , ,S,0,"19,750,584.00",42.3892808,-70.6899469,Harbor Islands,Harbor Islands,,,,,9901010,0,0,,
"7,422","1,209",25,25,990101,2,250259901010002,250259901010,2,Block 0002,G5040, , ,S,0,"5,352,615.00",42.3884516,-70.7381075,Harbor Islands,Harbor Islands,,,,,9901010,0,0,,
"7,513","3,800",25,25,990101,3,250259901010003,250259901010,3,Block 0003,G5040, , ,S,0,"163,581.00",42.3871824,-70.7491579,Harbor Islands,Harbor Islands,,,,,9901010,0,0,,
"7,492","3,265",25,25,990101,4,250259901010004,250259901010,4,Block 0004,G5040, , ,S,0,"26,728.00",42.369371,-71.0480806,Central,North End,,,,,9901010,0,0,,
"7,578","5,342",25,25,990101,5,250259901010005,250259901010,5,Block 0005,G5040, , ,S,0,"36,948.00",42.3706425,-71.047655,East Boston,East Boston,,,,,9901010,0,0,,
"7,544","4,443",25,25,990101,6,250259901010006,250259901010,6,Block 0006,G5040, , ,S,0,"7,585.00",42.3687439,-71.0464066,East Boston,East Boston,,,,,9901010,0,0,,
"7,471","2,628",25,25,990101,7,250259901010007,250259901010,7,Block 0007,G5040, , ,S,0,"3,449.00",42.3682153,-71.0460017,East Boston,East Boston,,,,,9901010,0,0,,
"7,491","3,264",25,25,990101,8,250259901010008,250259901010,8,Block 0008,G5040, , ,S,0,"10,394.00",42.3672955,-71.0453991,East Boston,East Boston,,,,,9901010,0,0,,
"7,618","6,642",25,25,990101,9,250259901010009,250259901010,9,Block 0009,G5040, , ,S,0,"77,382.00",42.3653126,-71.0452975,East Boston,East Boston,,,,,9901010,0,0,,
"7,554","4,647",25,25,990101,10,250259901010010,250259901010,10,Block 0010,G5040, , ,S,0,"2,019.00",42.3677886,-71.046607,East Boston,North End,,,,,9901010,0,0,,
"7,440","1,539",25,25,990101,11,250259901010011,250259901010,11,Block 0011,G5040, , ,S,0,309,42.3680033,-71.0466563,East Boston,North End,,,,,9901010,0,0,,
"7,619","6,643",25,25,990101,12,250259901010012,250259901010,12,Block 0012,G5040, , ,S,0,"71,596.00",42.362491,-71.0448376,Central,East Boston,,,,,9901010,0,0,,
"7,589","5,404",25,25,990101,13,250259901010013,250259901010,13,Block 0013,G5040, , ,S,0,"785,312.00",42.3575053,-71.0380572,East Boston,East Boston,,,,,9901010,0,0,,
"7,588","5,403",25,25,990101,14,250259901010014,250259901010,14,Block 0014,G5040, , ,S,0,"257,732.00",42.358328,-71.0313544,East Boston,East Boston,,,,,9901010,0,0,,
"7,532","4,355",25,25,990101,15,250259901010015,250259901010,15,Block 0015,G5040, , ,S,0,"3,743.00",42.3549153,-71.027475,East Boston,East Boston,,,,,9901010,0,0,,
"7,577","5,341",25,25,990101,16,250259901010016,250259901010,16,Block 0016,G5040, , ,S,0,"3,559,415.00",42.3486924,-70.9935613,East Boston,East Boston,,,,,9901010,0,0,,
"7,617","6,641",25,25,990101,17,250259901010017,250259901010,17,Block 0017,G5040, , ,S,0,"145,274.00",42.352525,-71.0007214,East Boston,East Boston,,,,,9901010,0,0,,
"7,545","4,444",25,25,990101,24,250259901010024,250259901010,24,Block 0024,G5040, , ,S,0,"334,253.00",42.3477418,-71.0206695,South Boston,South Boston Waterfront,,,,,9901010,0,0,,
"7,472","2,629",25,25,990101,25,250259901010025,250259901010,25,Block 0025,G5040, , ,S,0,"4,338.00",42.352741,-71.0287871,South Boston,East Boston,,,,,9901010,0,0,,
