geoid,geoid,block,name,B19101001 - Total:,"B19101001 - Total:, Error","B19101002 - Less than $10,000","B19101002 - Less than $10,000, Error","B19101003 - $10,000 to $14,999","B19101003 - $10,000 to $14,999, Error","B19101004 - $15,000 to $19,999","B19101004 - $15,000 to $19,999, Error","B19101005 - $20,000 to $24,999","B19101005 - $20,000 to $24,999, Error","B19101006 - $25,000 to $29,999","B19101006 - $25,000 to $29,999, Error","B19101007 - $30,000 to $34,999","B19101007 - $30,000 to $34,999, Error","B19101008 - $35,000 to $39,999","B19101008 - $35,000 to $39,999, Error","B19101009 - $40,000 to $44,999","B19101009 - $40,000 to $44,999, Error","B19101010 - $45,000 to $49,999","B19101010 - $45,000 to $49,999, Error","B19101011 - $50,000 to $59,999","B19101011 - $50,000 to $59,999, Error","B19101012 - $60,000 to $74,999","B19101012 - $60,000 to $74,999, Error","B19101013 - $75,000 to $99,999","B19101013 - $75,000 to $99,999, Error","B19101014 - $100,000 to $124,999","B19101014 - $100,000 to $124,999, Error","B19101015 - $125,000 to $149,999","B19101015 - $125,000 to $149,999, Error","B19101016 - $150,000 to $199,999","B19101016 - $150,000 to $199,999, Error","B19101017 - $200,000 or more","B19101017 - $200,000 or more, Error"
15000US250250001001,15000US,250250001001,"Block Group 1, Suffolk, MA",212,75,35,41,0,12,9,15,7,14,0,12,27,42,35,35,9,14,0,12,0,12,20,22,25,24,17,21,23,26,0,12,5,8
15000US250250001002,15000US,250250001002,"Block Group 2, Suffolk, MA",193,88,18,29,0,12,0,12,0,12,0,12,47,46,68,75,14,23,0,12,0,12,25,25,0,12,14,15,0,12,7,11,0,12
15000US250250001003,15000US,250250001003,"Block Group 3, Suffolk, MA",137,67,0,12,0,12,0,12,0,12,16,26,19,31,7,14,0,12,26,41,18,28,10,18,31,27,0,12,0,12,10,16,0,12
15000US250250001004,15000US,250250001004,"Block Group 4, Suffolk, MA",132,69,0,12,0,12,0,12,0,12,28,39,0,12,31,42,0,12,0,12,9,16,26,27,17,21,15,17,6,10,0,12,0,12
15000US250250002011,15000US,250250002011,"Block Group 1, Suffolk, MA",98,44,10,18,0,12,0,12,0,12,0,12,0,12,12,20,0,12,0,12,23,26,0,12,13,21,0,12,8,16,17,20,15,18
15000US250250002012,15000US,250250002012,"Block Group 2, Suffolk, MA",120,65,0,12,0,12,0,12,0,12,15,24,0,12,8,12,0,12,0,12,13,21,0,12,12,19,28,31,0,12,29,39,15,15
15000US250250002013,15000US,250250002013,"Block Group 3, Suffolk, MA",223,84,19,30,7,12,0,12,23,36,0,12,0,12,0,12,16,27,28,33,7,15,42,46,37,50,9,17,10,17,17,26,8,15
15000US250250002014,15000US,250250002014,"Block Group 4, Suffolk, MA",129,63,0,12,0,12,0,12,0,12,9,15,0,12,11,17,17,18,33,40,0,12,44,46,0,12,6,10,0,12,9,15,0,12
15000US250250002021,15000US,250250002021,"Block Group 1, Suffolk, MA",211,78,12,23,0,12,4,9,30,34,0,12,0,12,0,12,17,20,29,41,50,35,0,12,0,12,10,15,25,33,34,32,0,12
15000US250250002022,15000US,250250002022,"Block Group 2, Suffolk, MA",123,64,0,12,0,12,0,12,13,23,15,24,0,12,0,12,18,27,0,12,13,20,9,15,18,22,8,12,29,33,0,12,0,12
